Updated On,State,RT PCR Tests,Antigen Tests,Other Tests,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,People in ICU,People on Ventilators,Num Isolation Beds,Num ICU Beds,Num Ventilators,Total PPE,Total N95 Masks,Corona Enquiry Calls,Num Calls State Helpline,Source1,Source2,Source3,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case,Population NCP 2019 Projection,
20/08/2020,Andhra Pradesh,,,,3074847,Tested,,2749451,,,,,,,,21254,,,,,,,https://twitter.com/ArogyaAndhra/status/1296417255031476228?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,0.00%,58.88,58881,,52221000,
21/08/2020,Andhra Pradesh,,,,3129857,Tested,,2794917,,,,,,,,21254,,,,,,,https://twitter.com/ArogyaAndhra/status/1296773203650469890?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,0.00%,59.93,59935,,52221000,
22/08/2020,Andhra Pradesh,,,,3191326,Tested,,2846110,,,,,,,,21254,,,,,,,https://twitter.com/ArogyaAndhra/status/1297149734738513920?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,0.00%,61.11,61112,,52221000,
23/08/2020,Andhra Pradesh,,,,3238038,Tested,,2884927,,,,,,,,21254,,,,,,,https://twitter.com/ArogyaAndhra/status/1297495685034516481?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,0.00%,62.01,62006,,52221000,
24/08/2020,Andhra Pradesh,,,,3292501,Tested,,2930789,,,,,,,,21254,,,,,,,https://twitter.com/ArogyaAndhra/status/1297862150245900288?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,0.00%,63.05,63049,,52221000,
25/08/2020,Andhra Pradesh,,,,3356852,Tested,,2985213,,,,,,,,21254,,,,,,,https://twitter.com/ArogyaAndhra/status/1298246008468410370?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,0.00%,64.28,64282,,52221000,
26/08/2020,Andhra Pradesh,,,,3418690,Tested,,3036221,,,,,,,,21254,,,,,,,https://twitter.com/ArogyaAndhra/status/1298620563708026887?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,0.00%,65.47,65466,,52221000,
27/08/2020,Andhra Pradesh,,,,3479990,Tested,,3086900,,,,,,,,21254,,,,,,,https://twitter.com/ArogyaAndhra/status/1298946725856440322?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,0.00%,66.64,66640,,52221000,
28/08/2020,Andhra Pradesh,,,,3541321,Tested,,3137705,,,,,,,,21254,,,,,,,https://twitter.com/ArogyaAndhra/status/1299340675423506433?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,0.00%,67.81,67814,,52221000,
29/08/2020,Andhra Pradesh,,,,3603345,Tested,,3189181,,,,,,,,21254,,,,,,,https://twitter.com/ArogyaAndhra/status/1299696113742573570?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,0.00%,69.00,69002,,52221000,
30/08/2020,Andhra Pradesh,,,,3666422,Tested,,3241655,,,,,,,,21254,,,,,,,https://twitter.com/ArogyaAndhra/status/1300043912015302656?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,0.00%,70.21,70210,,52221000,
31/08/2020,Andhra Pradesh,,,,3722912,Tested,,3288141,,,,,,,,21254,,,,,,,https://twitter.com/ArogyaAndhra/status/1300408125153931265?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,0.00%,71.29,71291,,52221000,
01/09/2020,Andhra Pradesh,,,,3782746,Tested,,3337607,,,,,,,,21254,,,,,,,https://twitter.com/ArogyaAndhra/status/1300789446359396352?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,0.00%,72.44,72437,,52221000,
02/09/2020,Andhra Pradesh,,,,3843550,Tested,,3388019,,,,,,,,,,,,,,,https://twitter.com/ArogyaAndhra/status/1301136487757479941?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,0.00%,73.60,73602,,52221000,
03/09/2020,Andhra Pradesh,,,,3905775,Tested,,3442940,,,,,,,,,,,,,,,https://twitter.com/ArogyaAndhra/status/1301497571945242626?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,0.00%,74.79,74793,,52221000,
04/09/2020,Andhra Pradesh,,,,3965694,Tested,,3492083,,,,,,,,,,,,,,,https://twitter.com/ArogyaAndhra/status/1301875331360382976?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,0.00%,75.94,75941,,52221000,
05/09/2020,Andhra Pradesh,,,,4035317,Tested,,3547986,,,,,,,,,,,,,,,https://twitter.com/ArogyaAndhra/status/1302252390280642564?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,0.00%,77.27,77274,,52221000,
06/09/2020,Andhra Pradesh,,,,4107890,Tested,,3612660,,,,,,,,,,,,,,,https://twitter.com/ArogyaAndhra/status/1302575388346916865?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,0.00%,78.66,78664,,52221000,
07/09/2020,Andhra Pradesh,,,,4166077,Tested,,3659584,,,,,,,,,,,,,,,https://twitter.com/ArogyaAndhra/status/1302954241049333763?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,0.00%,79.78,79778,,52221000,
08/09/2020,Andhra Pradesh,,,,4237070,Tested,,3719976,,,,,,,,,,,,,,,https://twitter.com/ArogyaAndhra/status/1303319489832865793?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,0.00%,81.14,81137,,52221000,
09/09/2020,Andhra Pradesh,,,,4308762,Tested,,3781250,,,,,,,,,,,,,,,https://twitter.com/ArogyaAndhra/status/1303676903513939968?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,,,,,,
10/09/2020,Andhra Pradesh,,,,4380991,Tested,,3843304,,,,,,,,,,,,,,,https://twitter.com/ArogyaAndhra/status/1304019820443099136?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,,,,,,
11/09/2020,Andhra Pradesh,,,,4452128,Tested,,3904442,,,,,,,,,,,,,,,https://twitter.com/ArogyaAndhra/status/1304388119874007041?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,,,,,,
12/09/2020,Andhra Pradesh,,,,4527593,Tested,,3970006,,,,,,,,,,,,,,,https://twitter.com/ArogyaAndhra/status/1304760452983918595?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,,,,,,
13/09/2020,Andhra Pradesh,,,,4599826,Tested,,4032703,,,,,,,,,,,,,,,https://twitter.com/ArogyaAndhra/status/1305139963806146561?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,,,,,,,
14/09/2020,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,http://covid19.ap.gov.in/Covid19_Admin/index.html,,,,,,,
09/04/2020,Arunachal Pradesh,,,,206,Samples Collected,1,185,20,,,,,,,,,,,,,,https://twitter.com/PemaKhanduBJP/status/1248269356070363136?s=19,,,0.49%,0.14,137,206,1504000,
14/04/2020,Arunachal Pradesh,,,,280,Samples Collected,1,250,29,,,,,,,,,,,,,,https://twitter.com/PemaKhanduBJP/status/1249901653634867200,,,0.36%,0.19,186,280,1504000,
17/04/2020,Arunachal Pradesh,,,,363,Samples Collected,1,338,25,,,,,,,,,,,,,,https://twitter.com/PemaKhanduBJP/status/1251136883045752834,,,0.28%,0.24,241,363,1504000,
18/04/2020,Arunachal Pradesh,,,,389,Samples Collected,1,358,31,,,,,,,,,,,,,,https://twitter.com/PemaKhanduBJP/status/1251485238477221889,,,0.26%,0.26,259,389,1504000,
20/04/2020,Arunachal Pradesh,,,,439,Samples Collected,1,405,34,,,,,,,,,,,,,,https://twitter.com/ANI/status/1252454869983608832?s=09,,,0.23%,0.29,292,439,1504000,
21/04/2020,Arunachal Pradesh,,,,454,Samples Collected,1,433,19,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.22%,0.30,302,454,1504000,
22/04/2020,Arunachal Pradesh,,,,496,Samples Collected,2,441,53,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.40%,0.33,330,248,1504000,
24/04/2020,Arunachal Pradesh,,,,526,Samples Collected,2,508,16,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.38%,0.35,350,263,1504000,
26/04/2020,Arunachal Pradesh,,,,568,Samples Collected,2,529,37,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.35%,0.38,378,284,1504000,
27/04/2020,Arunachal Pradesh,,,,584,Samples Collected,2,566,16,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.34%,0.39,388,292,1504000,
28/04/2020,Arunachal Pradesh,,,,610,Samples Collected,2,581,27,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.33%,0.41,406,305,1504000,
29/04/2020,Arunachal Pradesh,,,,662,Samples Collected,2,595,65,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.30%,0.44,440,331,1504000,
30/04/2020,Arunachal Pradesh,,,,694,Samples Collected,2,656,36,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.29%,0.46,461,347,1504000,
01/05/2020,Arunachal Pradesh,,,,724,Samples Collected,2,692,30,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.28%,0.48,481,362,1504000,
02/05/2020,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,1504000,
03/05/2020,Arunachal Pradesh,,,,810,Samples Collected,2,761,47,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.25%,0.54,539,405,1504000,
04/05/2020,Arunachal Pradesh,,,,869,Samples Collected,2,762,105,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.23%,0.58,578,435,1504000,
05/05/2020,Arunachal Pradesh,,,,970,Samples Collected,2,814,154,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.21%,0.64,645,485,1504000,
06/05/2020,Arunachal Pradesh,,,,1039,Samples Collected,2,857,180,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.19%,0.69,691,520,1504000,
07/05/2020,Arunachal Pradesh,,,,1144,Samples Collected,2,952,190,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.17%,0.76,761,572,1504000,
08/05/2020,Arunachal Pradesh,,,,1354,Samples Collected,2,1015,337,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.15%,0.90,900,677,1504000,
09/05/2020,Arunachal Pradesh,,,,1597,Samples Collected,2,1266,329,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.13%,1.06,1062,799,1504000,
10/05/2020,Arunachal Pradesh,,,,1823,Samples Collected,2,1363,458,,,,,,,,,,,,,5388,http://covid19.itanagarsmartcity.in/covidstatus.php,http://covid19.itanagarsmartcity.in/callstatus.php,,0.11%,1.21,1212,912,1504000,
11/05/2020,Arunachal Pradesh,,,,2078,Samples Collected,2,1538,538,,,,,,,,,,,,,5418,http://covid19.itanagarsmartcity.in/covidstatus.php,http://covid19.itanagarsmartcity.in/callstatus.php,,0.10%,1.38,1382,"1,039",1504000,
12/05/2020,Arunachal Pradesh,,,,2257,Samples Collected,2,1798,457,,,,,,,,,,,,,5521,http://covid19.itanagarsmartcity.in/covidstatus.php,http://covid19.itanagarsmartcity.in/callstatus.php,,0.09%,1.50,1501,"1,129",1504000,
13/05/2020,Arunachal Pradesh,,,,2483,Samples Collected,2,1902,579,,,,,,,,,,,,,5619,http://covid19.itanagarsmartcity.in/covidstatus.php,http://covid19.itanagarsmartcity.in/callstatus.php,,0.08%,1.65,1651,"1,242",1504000,
14/05/2020,Arunachal Pradesh,,,,2677,Samples Collected,2,2233,442,,,,,,,,,,,,,5699,https://t.me/Covid19india_Auxiliary_Test_Data/12?single,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.07%,1.78,1780,"1,339",1504000,
15/05/2020,Arunachal Pradesh,,,,2942,Samples Collected,2,2546,394,,,,,,,,,,,,,5753,https://t.me/Covid19india_Auxiliary_Test_Data/22,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.07%,1.96,1956,"1,471",1504000,
16/05/2020,Arunachal Pradesh,,,,3163,Samples Collected,2,2861,300,,,,,,,,,,,,,5806,https://t.me/Covid19india_Auxiliary_Test_Data/32,http://covid19.itanagarsmartcity.in/callstatus.php,,0.06%,2.10,2103,"1,582",1504000,
17/05/2020,Arunachal Pradesh,,,,3349,Samples Collected,2,2966,381,,,,,,,,,,,,,5851,https://t.me/Covid19india_Auxiliary_Test_Data/40,http://covid19.itanagarsmartcity.in/callstatus.php,,0.06%,2.23,2227,"1,675",1504000,
18/05/2020,Arunachal Pradesh,,,,3662,Samples Collected,2,3166,494,,,,,,,,,,,,,5906,https://t.me/Covid19india_Auxiliary_Test_Data/54,http://covid19.itanagarsmartcity.in/callstatus.php,,0.05%,2.43,2435,"1,831",1504000,
19/05/2020,Arunachal Pradesh,,,,3941,Samples Collected,2,3392,547,,,,,,,,,,,,,5944,https://t.me/Covid19india_Auxiliary_Test_Data/66,http://covid19.itanagarsmartcity.in/callstatus.php,,0.05%,2.62,2620,"1,971",1504000,
20/05/2020,Arunachal Pradesh,,,,4157,Samples Collected,2,3710,445,,,,,,,,,,,,,5977,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0.05%,2.76,2764,"2,079",1504000,
21/05/2020,Arunachal Pradesh,,,,4438,Samples Collected,2,3963,473,,,,,,,,,,,,,6004,https://t.me/Covid19india_Auxiliary_Test_Data/90,http://covid19.itanagarsmartcity.in/callstatus.php,,0.05%,2.95,2951,"2,219",1504000,
22/05/2020,Arunachal Pradesh,,,,4844,Samples Collected,2,4211,631,,,,,,,,,,,,,6062,https://t.me/Covid19india_Auxiliary_Test_Data/108,http://covid19.itanagarsmartcity.in/callstatus.php,,0.04%,3.22,3221,"2,422",1504000,
23/05/2020,Arunachal Pradesh,,,,5206,Samples Collected,2,4340,864,,,,,,,,,,,,,6125,https://t.me/Covid19india_Auxiliary_Test_Data/128,http://covid19.itanagarsmartcity.in/callstatus.php,,0.04%,3.46,3461,"2,603",1504000,
24/05/2020,Arunachal Pradesh,,,,5428,Samples Collected,2,4552,873,,,,,,,,,,,,,6155,https://t.me/Covid19india_Auxiliary_Test_Data/145,http://covid19.itanagarsmartcity.in/callstatus.php,,0.04%,3.61,3609,"2,714",1504000,
25/05/2020,Arunachal Pradesh,,,,5997,Samples Collected,2,4941,1053,,,,,,,,,,,,,6169,https://t.me/Covid19india_Auxiliary_Test_Data/159,"http://covid19.itanagarsmartcity.in/covidstatus.php",,0.03%,3.99,3987,"2,999",1504000,
26/05/2020,Arunachal Pradesh,,,,6319,Samples Collected,2,5083,1233,,,,,,,,,,,,,6191,https://t.me/Covid19india_Auxiliary_Test_Data/174,http://covid19.itanagarsmartcity.in/callstatus.php,,0.03%,4.20,4201,"3,160",1504000,
27/05/2020,Arunachal Pradesh,,,,6436,Samples Collected,2,5405,1028,,,,,,,,,,,,,6221,https://t.me/Covid19india_Auxiliary_Test_Data/193,http://covid19.itanagarsmartcity.in/callstatus.php,,0.03%,4.28,4279,"3,218",1504000,
28/05/2020,Arunachal Pradesh,,,,6984,Samples Collected,3,5677,1303,,,,,,,,,,,,,6279,https://t.me/Covid19india_Auxiliary_Test_Data/216,http://covid19.itanagarsmartcity.in/callstatus.php,,0.04%,4.64,4644,"2,328",1504000,
29/05/2020,Arunachal Pradesh,,,,7488,Samples Collected,3,6268,1216,,,,,,,,,,,,,6308,https://t.me/Covid19india_Auxiliary_Test_Data/222,http://covid19.itanagarsmartcity.in/callstatus.php,,0.04%,4.98,4979,"2,496",1504000,
30/05/2020,Arunachal Pradesh,,,,8017,Samples Collected,4,6675,1335,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/242,http://covid19.itanagarsmartcity.in/callstatus.php,,0.05%,5.33,5330,"2,004",1504000,
31/05/2020,Arunachal Pradesh,,,,8283,Samples Collected,4,7012,1264,,,,,,,,,,,,,6353,https://t.me/Covid19india_Auxiliary_Test_Data/254,http://covid19.itanagarsmartcity.in/callstatus.php,,0.05%,5.51,5507,"2,071",1504000,
01/06/2020,Arunachal Pradesh,,,,8768,Samples Collected,22,7528,1215,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/261,,,0.25%,5.83,5830,399,1504000,
02/06/2020,Arunachal Pradesh,,,,9079,Samples Collected,28,7806,1242,,,,,,,,,,,,,6398,https://t.me/Covid19india_Auxiliary_Test_Data/281,http://covid19.itanagarsmartcity.in/callstatus.php,,0.31%,6.04,6037,324,1504000,
03/06/2020,Arunachal Pradesh,,,,9551,Samples Collected,38,7927,1583,,,,,,,,,,,,,6476,https://t.me/Covid19india_Auxiliary_Test_Data/295,,,0.40%,6.35,6350,251,1504000,
04/06/2020,Arunachal Pradesh,,,,10025,Samples Collected,43,8552,1427,,,,,,,,,,,,,6506,https://t.me/Covid19india_Auxiliary_Test_Data/312,http://covid19.itanagarsmartcity.in/callstatus.php,,0.43%,6.67,6666,233,1504000,
05/06/2020,Arunachal Pradesh,,,,10790,Samples Collected,46,8877,1755,,,,,,,,,,,,,,https://t.me/indiacovid/6443,,,0.43%,7.17,7174,235,1504000,
06/06/2020,Arunachal Pradesh,,,,11261,Samples Collected,49,9350,1841,,,,,,,,,,,,,6539,https://t.me/Covid19india_Auxiliary_Test_Data/335,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.44%,7.49,7487,230,1504000,
07/06/2020,Arunachal Pradesh,,,,11516,Samples Collected,51,9921,1520,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/356,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.44%,7.66,7657,226,1504000,
08/06/2020,Arunachal Pradesh,,,,12012,Samples Collected,57,10376,1555,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/373,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.47%,7.99,7987,211,1504000,
09/06/2020,Arunachal Pradesh,,,,12455,Samples Collected,57,10642,1731,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/387,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.46%,8.28,8281,219,1504000,
10/06/2020,Arunachal Pradesh,,,,13035,Samples Collected,61,11420,1531,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/400,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.47%,8.67,8667,214,1504000,
11/06/2020,Arunachal Pradesh,,,,13479,Samples Collected,67,11754,1627,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.50%,8.96,8962,201,1504000,
12/06/2020,Arunachal Pradesh,,,,14047,Samples Collected,87,12119,1810,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/435,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.62%,9.34,9340,161,1504000,
13/06/2020,Arunachal Pradesh,,,,14518,Samples Collected,88,12817,1582,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/447,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.61%,9.65,9653,165,1504000,
15/06/2020,Arunachal Pradesh,,,,15453,Samples Collected,95,13610,1715,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/489,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.61%,10.27,10275,163,1504000,
16/06/2020,Arunachal Pradesh,,,,16158,Samples Collected,99,14339,1685,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/508,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.61%,10.74,10743,163,1504000,
17/06/2020,Arunachal Pradesh,,,,16630,Samples Collected,103,14698,1792,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/528,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.62%,11.06,11057,161,1504000,
18/06/2020,Arunachal Pradesh,,,,16630,Samples Collected,103,14698,1792,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/560,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.62%,11.06,11057,161,1504000,
19/06/2020,Arunachal Pradesh,,,,18008,Samples Collected,135,14698,1696,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/561,,,0.75%,11.97,11973,133,1504000,
20/06/2020,Arunachal Pradesh,,,,18521,Samples Collected,135,16827,1520,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/578,,,0.73%,12.31,12314,137,1504000,
21/06/2020,Arunachal Pradesh,,,,19154,Samples Collected,139,17100,1876,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/595,,,0.73%,12.74,12735,138,1504000,
22/06/2020,Arunachal Pradesh,,,,19799,Samples Collected,148,18123,1483,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/608,,,0.75%,13.16,13164,134,1504000,
23/06/2020,Arunachal Pradesh,,,,20398,Samples Collected,158,18571,1623,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/623,,,0.77%,13.56,13563,129,1504000,
24/06/2020,Arunachal Pradesh,,,,20938,Samples Collected,160,18979,1752,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1275816281048932354?s=20,,,0.76%,13.92,13922,131,1504000,
25/06/2020,Arunachal Pradesh,,,,21274,Samples Collected,172,19298,1441,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1276213858491789312?s=20,,,0.81%,14.14,14145,124,1504000,
26/06/2020,Arunachal Pradesh,,,,21890,Samples Collected,174,19877,1415,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1276551051789733889?s=20,,,0.79%,14.55,14555,126,1504000,
27/06/2020,Arunachal Pradesh,,,,22623,Samples Collected,177,20209,1768,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1276901007339880458?s=20,,,0.78%,15.04,15042,128,1504000,
28/06/2020,Arunachal Pradesh,,,,23011,Samples Collected,182,20673,1672,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1277261909167767552?s=20,,,0.79%,15.30,15300,126,1504000,
29/06/2020,Arunachal Pradesh,,,,23709,Samples Collected,187,21408,1612,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1277645844968140804?s=20,,,0.79%,15.76,15764,127,1504000,
30/06/2020,Arunachal Pradesh,,,,24237,Samples Collected,191,21766,1759,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1278013300161167362?s=20,,,0.79%,16.12,16115,127,1504000,
01/07/2020,Arunachal Pradesh,,,,24856,Samples Collected,195,22443,1669,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1278380929153556480?s=20,,,0.78%,16.53,16527,127,1504000,
02/07/2020,Arunachal Pradesh,,,,25440,Samples Collected,232,23025,1594,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1278749659461271552?s=20,,,0.91%,16.91,16915,110,1504000,
03/07/2020,Arunachal Pradesh,,,,25917,Samples Collected,252,23486,1584,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1279117565969567744?s=20,,,0.97%,17.23,17232,103,1504000,
04/07/2020,Arunachal Pradesh,,,,26569,Samples Collected,259,24025,1667,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1279486808204566528?s=20,,,0.97%,17.67,17666,103,1504000,
05/07/2020,Arunachal Pradesh,,,,26808,Samples Collected,269,24466,1438,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1279837920921219072?s=20,,,1.00%,17.82,17824,100,1504000,
06/07/2020,Arunachal Pradesh,,,,27645,Samples Collected,270,24900,1805,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1280186947684626432?s=20,,,0.98%,18.38,18381,102,1504000,
07/07/2020,Arunachal Pradesh,,,,28072,Samples Collected,276,25649,1391,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1280568332765151234?s=20,,,0.98%,18.66,18665,102,1504000,
08/07/2020,Arunachal Pradesh,,,,28581,Samples Collected,287,25996,1530,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1280935472575836162?s=20,,,1.00%,19.00,19003,100,1504000,
09/07/2020,Arunachal Pradesh,,,,29232,Samples Collected,302,26707,1431,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1281283209544622080?s=20,,,1.03%,19.44,19436,97,1504000,
10/07/2020,Arunachal Pradesh,,,,29834,Samples Collected,335,28023,1282,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1281764154651500545?s=20,http://covid19.itanagarsmartcity.in/covidstatus.php,,1.12%,19.84,19836,89,1504000,
11/07/2020,Arunachal Pradesh,,,,30922,Samples Collected,341,28711,1663,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/1076,http://covid19.itanagarsmartcity.in/covidstatus.php,https://twitter.com/DirectorateofHS/status/1282012675329814528?s=20,1.10%,20.56,20560,91,1504000,
12/07/2020,Arunachal Pradesh,,,,31520,Samples Collected,359,29296,1657,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1282382077703286784?s=20,http://covid19.itanagarsmartcity.in/covidstatus.php,,1.14%,20.96,20957,88,1504000,
13/07/2020,Arunachal Pradesh,,,,32691,Samples Collected,387,30725,1366,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/1131,http://covid19.itanagarsmartcity.in/covidstatus.php,,1.18%,21.74,21736,84,1504000,
14/07/2020,Arunachal Pradesh,,,,33807,Samples Collected,462,31688,1443,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/1157,http://covid19.itanagarsmartcity.in/covidstatus.php,,1.37%,22.48,22478,73,1504000,
15/07/2020,Arunachal Pradesh,,,,34619,Samples Collected,491,32450,1463,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1283469212011266048?s=20,http://covid19.itanagarsmartcity.in/covidstatus.php,,1.42%,23.02,23018,71,1504000,
16/07/2020,Arunachal Pradesh,,,,35430,Samples Collected,543,33222,1416,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1283823871049658368?s=20,http://covid19.itanagarsmartcity.in/covidstatus.php,,1.53%,23.56,23557,65,1504000,
17/07/2020,Arunachal Pradesh,,,,36426,Samples Collected,609,34040,1511,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1284199697553305600?s=20,http://covid19.itanagarsmartcity.in/covidstatus.php,,1.67%,24.22,24219,60,1504000,
18/07/2020,Arunachal Pradesh,,,,38042,Samples Collected,650,35471,1650,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1284550451979882496?s=20,http://covid19.itanagarsmartcity.in/covidstatus.php,,1.71%,25.29,25294,59,1504000,
19/07/2020,Arunachal Pradesh,,,,39288,Samples Collected,740,37032,1228,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1284928804712939520?s=20,http://covid19.itanagarsmartcity.in/covidstatus.php,,1.88%,26.12,26122,53,1504000,
20/07/2020,Arunachal Pradesh,,,,40477,Samples Collected,790,37752,1647,,,,,,,,,,,,,,https://twitter.com/DirectorateofHS/status/1285261655253766144?s=20,http://covid19.itanagarsmartcity.in/covidstatus.php,,1.95%,26.91,26913,51,1504000,
